Q4,Q5,Q22,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_9_TEXT,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q26,Q27,Q28,Q37,Q41,Q48,Q29,Q30,Q31,Q32,Q34,Q34_TEXT,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9,Q35_10,Q35_11,Q35_12,Q35_12_TEXT,Q52,Q53,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q44,Q45,Q17,Q18,Q19,Q20,Q21,Q38,Q39,Q42,Q40,Q51,Q7,Q8,Q1,Q2,Q50,Q3,Q12,Q13,Q14,Q15,Q16,Q9,Q46,Q47,Q49
1,3,4,5,4,4,5,5,3,4,5,,,4,4,5,5,4,5,5,5,1,4,1,4,4,1,2,2,5,,6,,1,1,1,1,1,1,1,1,,1,1,,,2,3,5,5,4,5,5,5,5,5,1,,1,7,,,,5,2,,8,2,2,5,1,2,1,3,1,11,2,,1,5,2,5,1
4,1,4,5,5,5,4,4,5,3,5,5,,5,1,4,4,1,4,5,5,1,2,1,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,1,1,5,5,4,5,,5,5,5,1,,2,,8,,,7,2,,5,1,2,5,1,2,1,2,1,11,2,,2,6,2,5,1
4,4,4,5,3,5,1,5,1,2,5,5,,5,5,5,1,1,5,5,5,1,2,1,2,1,2,2,1,3,2,6,,1,,,,1,1,1,1,,1,,,,2,2,3,4,3,3,4,5,2,5,1,,1,7,,,,5,2,,4,2,1,4,1,2,1,2,1,7,2,,1,5,2,5,1
1,5,2,3,2,2,2,2,2,2,2,,,3,2,2,3,2,2,2,3,2,,2,2,5,1,2,1,3,1,1,,,,,,1,1,1,,,1,,,,1,2,4,4,5,4,4,4,4,4,1,,2,,7,,,3,1,2,7,1,2,3,1,1,1,1,1,12,2,,1,5,2,5,1
4,6,3,4,3,4,1,1,1,2,3,,,3,1,3,3,1,4,4,5,1,2,1,2,1,2,2,2,2,2,6,,1,1,1,,1,1,1,1,,1,,,,2,2,5,5,4,5,5,5,2,5,1,,3,,,2,,5,2,,2,1,2,4,1,2,1,2,1,11,2,,1,6,2,5,1
1,5,4,5,1,3,3,4,1,1,4,,,3,2,4,4,1,4,4,4,1,1,3,3,1,2,1,1,4,1,6,,1,,,,,,1,,,,1,,,1,2,5,4,4,,,5,,5,1,,3,,,7,,7,2,,7,1,2,5,1,2,1,2,1,7,2,,1,3,2,5,1
4,2,2,4,1,2,1,2,2,2,,,,3,1,3,3,1,3,4,4,1,1,1,3,1,2,3,2,2,2,1,,,,,,,,,,,1,1,,,1,1,5,5,4,4,3,5,4,5,1,,3,,,7,,7,2,,7,1,2,5,1,1,1,1,1,11,2,,2,3,2,5,1
1,4,3,4,1,2,4,1,2,2,4,,,2,1,3,2,2,3,3,3,2,,1,2,1,2,2,2,3,2,6,,,1,,,1,,,,,,,,,1,2,5,4,4,4,4,5,,4,1,,1,7,,,,9,1,1,11,1,2,6,1,2,1,2,1,11,2,,2,5,2,5,1
4,3,4,5,3,4,2,4,2,2,4,5,,3,2,2,3,2,4,4,4,1,2,1,3,1,3,2,2,3,2,6,,1,,,,,,1,,,,1,,,2,2,5,,4,4,2,5,4,4,1,,3,,,1,,2,2,,3,1,2,3,1,2,1,2,1,10,2,,2,5,2,5,1
4,3,3,4,2,3,4,2,5,4,4,,,3,3,3,2,2,,4,4,1,2,1,3,1,1,6,,4,2,7,,1,,,,1,1,1,,1,1,1,,,2,2,,,,,,,,,1,,3,,,6,,3,2,,7,1,1,3,1,1,1,1,1,8,2,,2,3,2,5,1
